CodEntrega,CodVenta,Fecha_Envio,Fecha_Estimada,Fecha_Entrega_Real,Tiempo_Entrega,Costo_Total_Entrega,Entregado_A_Tiempo,Costo_Por_Km,Distancia_Recorrida_Km,CodProveedor,CodRango,CodEstado,CodAlmacen
114,114,2021-01-11,2021-01-15,2021-01-15,4 días,343.1,Si,15.32,22.4,2,1,3,1
115,115,2021-01-10,2021-01-14,2021-01-16,6 días,264.0,No,25.81,10.23,2,1,3,6
116,116,2021-01-11,2021-01-15,2021-01-12,1 días,539.93,Si,12.0,44.99,3,1,3,4
117,117,2021-01-11,2021-01-15,2021-01-15,4 días,703.81,Si,8.36,84.18,5,2,3,6
118,118,2021-01-09,2021-01-13,2021-01-11,2 días,410.64,Si,15.48,26.52,3,1,3,4
119,119,2021-01-09,2021-01-13,2021-01-15,6 días,462.72,No,13.63,33.96,3,1,3,2
120,120,2021-01-11,2021-01-15,2021-01-14,3 días,952.12,Si,6.83,139.36,5,2,3,15
121,121,2021-01-10,2021-01-14,2021-01-12,2 días,444.98,Si,9.71,45.83,1,1,3,2
122,122,2021-01-10,2021-01-14,2021-01-15,5 días,1032.28,No,5.64,183.07,4,2,3,4
123,123,2021-01-10,2021-01-14,2021-01-17,7 días,445.02,No,11.69,38.08,2,1,3,1
124,124,2021-01-11,2021-01-15,2021-01-13,2 días,392.5,Si,13.08,30.0,2,1,3,4
125,125,2021-01-11,2021-01-15,2021-01-14,3 días,1732.45,Si,3.55,488.02,8,3,3,15
126,126,2021-01-10,2021-01-14,2021-01-11,1 días,321.39,Si,16.86,19.06,2,1,3,8
127,127,2021-01-10,2021-01-14,2021-01-16,6 días,320.3,No,12.79,25.05,1,1,3,14
128,128,2021-01-12,2021-01-16,2021-01-18,6 días,414.08,No,12.43,33.32,2,1,3,9
129,129,2021-01-12,2021-01-16,2021-01-18,6 días,320.69,No,23.46,13.67,3,1,3,1
130,130,2021-01-10,2021-01-14,2021-01-13,3 días,324.25,Si,16.63,19.5,2,1,3,1
131,131,2021-01-12,2021-01-16,2021-01-16,4 días,3506.76,Si,2.78,1259.46,8,3,3,10
132,132,2021-01-10,2021-01-14,2021-01-17,7 días,464.61,No,13.57,34.23,3,1,3,6
133,133,2021-01-11,2021-01-15,2021-01-15,4 días,462.25,Si,11.35,40.73,2,1,3,4
134,134,2021-01-12,2021-01-16,2021-01-14,2 días,1609.62,Si,5.64,285.47,5,2,3,7
135,135,2021-01-10,2021-01-14,2021-01-12,2 días,480.97,Si,11.03,43.61,2,1,3,4
136,136,2021-01-11,2021-01-15,2021-01-15,4 días,313.28,Si,13.12,23.88,1,1,3,3
137,137,2021-01-10,2021-01-14,2021-01-14,4 días,365.52,Si,14.14,25.85,2,1,3,8
138,138,2021-01-10,2021-01-14,2021-01-17,7 días,563.94,No,11.65,48.42,3,1,3,7
139,139,2021-01-12,2021-01-16,2021-01-16,4 días,340.15,Si,20.68,16.45,3,1,3,12
140,140,2021-01-11,2021-01-15,2021-01-15,4 días,426.32,Si,9.98,42.72,1,1,3,8
141,141,2021-01-11,2021-01-15,2021-01-14,3 días,462.79,Si,13.62,33.97,3,1,3,3
142,142,2021-01-13,2021-01-17,2021-01-17,4 días,560.86,Si,11.69,47.98,3,1,3,14
143,143,2021-01-11,2021-01-15,2021-01-16,5 días,331.82,No,21.74,15.26,3,1,3,4
144,144,2021-01-12,2021-01-16,2021-01-14,2 días,374.1,Si,17.56,21.3,3,1,3,5
145,145,2021-01-13,2021-01-17,2021-01-18,5 días,435.62,No,9.84,44.27,1,1,3,15
146,146,2021-01-11,2021-01-15,2021-01-18,7 días,295.84,No,29.23,10.12,3,1,3,14
147,147,2021-01-11,2021-01-15,2021-01-17,6 días,626.27,No,9.35,66.95,5,2,3,8
148,148,2021-01-12,2021-01-16,2021-01-19,7 días,289.76,No,14.52,19.96,1,1,3,6
149,149,2021-01-11,2021-01-15,2021-01-18,7 días,1010.49,No,6.63,152.33,5,2,3,15
150,150,2021-01-11,2021-01-15,2021-01-15,4 días,1658.4,Si,6.34,261.68,6,2,3,11
151,151,2021-01-11,2021-01-15,2021-01-13,2 días,308.12,Si,13.38,23.02,1,1,3,1
152,152,2021-01-13,2021-01-17,2021-01-20,7 días,514.18,No,10.55,48.72,2,1,3,13
153,153,2021-01-13,2021-01-17,,Pendiente,212.0,Pendiente,30.29,7.0,1,1,1,3
154,154,2021-01-11,2021-01-15,2021-01-16,5 días,307.82,No,13.4,22.97,1,1,3,5
155,155,2021-01-11,2021-01-15,2021-01-12,1 días,228.56,Si,23.42,9.76,1,1,3,13
156,156,2021-01-14,2021-01-18,2021-01-21,7 días,495.55,No,12.82,38.65,3,1,3,6
157,157,2021-01-14,2021-01-18,2021-01-18,4 días,451.31,Si,13.96,32.33,3,1,4,3
158,158,2021-01-13,2021-01-17,2021-01-15,2 días,268.12,Si,43.53,6.16,3,1,3,4
159,159,2021-01-14,2021-01-18,2021-01-15,1 días,226.22,Si,24.14,9.37,1,1,3,1
160,160,2021-01-13,2021-01-17,2021-01-15,2 días,572.34,Si,11.53,49.62,3,1,3,2
161,161,2021-01-12,2021-01-16,2021-01-14,2 días,3505.59,Si,2.78,1258.95,8,3,3,15
162,162,2021-01-12,2021-01-16,2021-01-18,6 días,399.85,No,12.84,31.13,2,1,3,6
163,163,2021-01-12,2021-01-16,2021-01-19,7 días,442.94,No,9.74,45.49,1,1,3,6
164,164,2021-01-14,2021-01-18,2021-01-15,1 días,322.72,Si,23.12,13.96,3,1,3,5
165,165,2021-01-12,2021-01-16,2021-01-19,7 días,292.2,No,20.05,14.57,2,1,3,11
166,166,2021-01-12,2021-01-16,2021-01-18,6 días,1021.6,No,7.61,134.32,6,2,3,7
167,167,2021-01-14,2021-01-18,,Pendiente,3235.4,Pendiente,2.46,1317.7,7,3,2,15
168,168,2021-01-12,2021-01-16,2021-01-14,2 días,409.31,Si,15.55,26.33,3,1,3,13
169,169,2021-01-13,2021-01-17,2021-01-19,6 días,365.59,No,14.14,25.86,2,1,3,15
170,170,2021-01-12,2021-01-16,2021-01-17,5 días,565.27,No,11.63,48.61,3,1,3,1
171,171,2021-01-13,2021-01-17,2021-01-17,4 días,300.39,Si,18.98,15.83,2,1,3,2
172,172,2021-01-14,2021-01-18,2021-01-16,2 días,545.53,Si,11.91,45.79,3,1,3,11
173,173,2021-01-14,2021-01-18,,Pendiente,273.23,Pendiente,39.66,6.89,3,1,2,4
174,174,2021-01-12,2021-01-16,2021-01-19,7 días,337.42,No,21.01,16.06,3,1,3,3
175,175,2021-01-13,2021-01-17,2021-01-20,7 días,474.53,No,11.13,42.62,2,1,3,9
176,176,2021-01-12,2021-01-16,2021-01-13,1 días,472.0,Si,11.18,42.23,2,1,3,8
177,177,2021-01-14,2021-01-18,2021-01-20,6 días,652.72,No,7.4,88.18,4,2,3,6
178,178,2021-01-13,2021-01-17,2021-01-15,2 días,648.84,Si,7.44,87.21,4,2,3,11
179,179,2021-01-14,2021-01-18,2021-01-16,2 días,259.46,Si,17.4,14.91,1,1,3,8
180,180,2021-01-13,2021-01-17,2021-01-18,5 días,247.28,No,19.2,12.88,1,1,3,15
181,181,2021-01-12,2021-01-16,2021-01-16,4 días,3426.65,Si,2.8,1224.63,8,3,3,15
182,182,2021-01-14,2021-01-18,2021-01-21,7 días,429.1,No,12.04,35.63,2,1,3,12
183,183,2021-01-13,2021-01-17,2021-01-19,6 días,305.72,No,13.52,22.62,1,1,4,2
184,184,2021-01-14,2021-01-18,2021-01-15,1 días,396.08,Si,10.51,37.68,1,1,3,4
185,185,2021-01-14,2021-01-18,2021-01-15,1 días,419.24,Si,10.09,41.54,1,1,3,6
186,186,2021-01-14,2021-01-18,2021-01-15,1 días,435.98,Si,14.47,30.14,3,1,3,7
187,187,2021-01-14,2021-01-18,2021-01-15,1 días,457.61,Si,13.77,33.23,3,1,3,1
188,188,2021-01-14,2021-01-18,2021-01-21,7 días,423.03,No,14.95,28.29,3,1,3,3
189,189,2021-01-15,2021-01-19,2021-01-18,3 días,409.1,Si,15.56,26.3,3,1,4,1
190,190,2021-01-14,2021-01-18,2021-01-19,5 días,560.64,No,8.6,65.16,4,2,3,4
191,191,2021-01-13,2021-01-17,,Pendiente,405.08,Pendiente,10.34,39.18,1,1,1,6
192,192,2021-01-13,2021-01-17,2021-01-16,3 días,481.76,Si,13.13,36.68,3,1,3,1
193,193,2021-01-13,2021-01-17,2021-01-18,5 días,554.98,No,11.77,47.14,3,1,3,6
194,194,2021-01-15,2021-01-19,2021-01-17,2 días,262.64,Si,17.01,15.44,1,1,3,1
195,195,2021-01-13,2021-01-17,2021-01-19,6 días,505.34,No,10.67,47.36,2,1,3,2
196,196,2021-01-15,2021-01-19,2021-01-16,1 días,309.91,Si,25.55,12.13,3,1,3,4
197,197,2021-01-16,2021-01-20,2021-01-19,3 días,297.24,Si,28.8,10.32,3,1,3,11
198,198,2021-01-16,2021-01-20,2021-01-21,5 días,879.75,No,8.3,105.95,6,2,3,12
199,199,2021-01-16,2021-01-20,2021-01-23,7 días,498.19,No,10.77,46.26,2,1,3,14
200,200,2021-01-16,2021-01-20,2021-01-23,7 días,271.48,No,40.89,6.64,3,1,3,15
201,201,2021-01-14,2021-01-18,2021-01-19,5 días,279.11,No,36.11,7.73,3,1,3,4
202,202,2021-01-16,2021-01-20,2021-01-18,2 días,438.5,Si,14.38,30.5,3,1,3,13
203,203,2021-01-16,2021-01-20,2021-01-19,3 días,286.39,Si,32.66,8.77,3,1,3,3
204,204,2021-01-16,2021-01-20,2021-01-21,5 días,279.32,No,35.99,7.76,3,1,3,14
205,205,2021-01-15,2021-01-19,2021-01-16,1 días,242.72,Si,20.03,12.12,1,1,3,15
206,206,2021-01-16,2021-01-20,2021-01-23,7 días,2840.84,No,2.93,969.93,8,3,3,14
207,207,2021-01-16,2021-01-20,2021-01-22,6 días,465.2,No,9.46,49.2,1,1,3,13
208,208,2021-01-15,2021-01-19,,Pendiente,468.88,Pendiente,11.23,41.75,2,1,2,6
209,209,2021-01-16,2021-01-20,2021-01-18,2 días,520.12,Si,12.34,42.16,3,1,3,4
210,210,2021-01-14,2021-01-18,2021-01-18,4 días,230.42,Si,22.88,10.07,1,1,3,12
211,211,2021-01-15,2021-01-19,2021-01-17,2 días,1070.12,Si,5.56,192.53,4,2,3,8
212,212,2021-01-17,2021-01-21,2021-01-23,6 días,278.62,No,22.33,12.48,2,1,3,14
213,213,2021-01-16,2021-01-20,2021-01-23,7 días,1240.28,No,5.28,235.07,4,2,4,7
214,214,2021-01-15,2021-01-19,2021-01-18,3 días,411.08,Si,10.23,40.18,1,1,3,7
215,215,2021-01-15,2021-01-19,2021-01-22,7 días,2958.7,No,2.51,1179.35,7,3,3,8
216,216,2021-01-17,2021-01-21,2021-01-24,7 días,294.48,No,19.74,14.92,2,1,3,2
217,217,2021-01-16,2021-01-20,2021-01-19,3 días,267.14,Si,44.38,6.02,3,1,3,2
218,218,2021-01-15,2021-01-19,2021-01-16,1 días,227.54,Si,23.73,9.59,1,1,3,14
219,219,2021-01-17,2021-01-21,2021-01-22,5 días,322.4,No,12.69,25.4,1,1,3,1
220,220,2021-01-17,2021-01-21,2021-01-19,2 días,627.89,Si,9.33,67.31,5,2,3,1
221,221,2021-01-16,2021-01-20,,Pendiente,429.2,Pendiente,9.94,43.2,1,1,2,2
222,222,2021-01-15,2021-01-19,2021-01-21,6 días,1394.85,No,6.67,208.97,6,2,3,14
223,223,2021-01-17,2021-01-21,2021-01-23,6 días,371.66,No,11.06,33.61,1,1,3,6
224,224,2021-01-16,2021-01-20,2021-01-19,3 días,329.64,Si,16.21,20.33,2,1,3,4
225,225,2021-01-18,2021-01-22,2021-01-23,5 días,405.86,No,10.32,39.31,1,1,3,7
226,226,2021-01-17,2021-01-21,2021-01-19,2 días,545.95,Si,11.91,45.85,3,1,3,11
227,227,2021-01-17,2021-01-21,2021-01-18,1 días,413.62,Si,12.44,33.25,2,1,3,2
228,228,2021-01-17,2021-01-21,,Pendiente,279.08,Pendiente,15.35,18.18,1,1,1,2
229,229,2021-01-18,2021-01-22,2021-01-25,7 días,231.82,No,43.91,5.28,2,1,3,4
230,230,2021-01-16,2021-01-20,2021-01-18,2 días,205.28,Si,34.91,5.88,1,1,3,6
231,231,2021-01-16,2021-01-20,2021-01-20,4 días,277.77,Si,22.49,12.35,2,1,3,2
232,232,2021-01-18,2021-01-22,2021-01-25,7 días,324.68,No,12.59,25.78,1,1,3,6
233,233,2021-01-17,2021-01-21,2021-01-18,1 días,579.84,Si,8.29,69.96,4,2,3,2
234,234,2021-01-17,2021-01-21,,Pendiente,250.04,Pendiente,18.74,13.34,1,1,1,9
235,235,2021-01-18,2021-01-22,,Pendiente,427.23,Pendiente,14.79,28.89,3,1,2,12
236,236,2021-01-19,2021-01-23,2021-01-23,4 días,1536.0,Si,5.71,269.11,5,2,3,6
237,237,2021-01-17,2021-01-21,2021-01-23,6 días,395.72,No,10.52,37.62,1,1,3,7
238,238,2021-01-19,2021-01-23,2021-01-20,1 días,282.19,Si,34.54,8.17,3,1,4,9
239,239,2021-01-17,2021-01-21,2021-01-19,2 días,268.05,Si,43.59,6.15,3,1,3,14
240,240,2021-01-17,2021-01-21,2021-01-20,3 días,699.68,Si,7.0,99.92,4,2,3,10
241,241,2021-01-17,2021-01-21,2021-01-20,3 días,344.53,Si,15.23,22.62,2,1,3,4
242,242,2021-01-17,2021-01-21,2021-01-21,4 días,368.54,Si,11.14,33.09,1,1,4,15
243,243,2021-01-17,2021-01-21,2021-01-21,4 días,214.52,Si,28.91,7.42,1,1,3,13
244,244,2021-01-18,2021-01-22,2021-01-22,4 días,2543.79,Si,3.03,840.78,8,3,3,3
245,245,2021-01-17,2021-01-21,2021-01-20,3 días,380.4,Si,17.14,22.2,3,1,3,15
246,246,2021-01-19,2021-01-23,2021-01-20,1 días,384.32,Si,10.76,35.72,1,1,3,2
247,247,2021-01-20,2021-01-24,2021-01-25,5 días,439.56,No,11.8,37.24,2,1,3,8
248,248,2021-01-18,2021-01-22,2021-01-20,2 días,425.06,Si,12.14,35.01,2,1,3,15
249,249,2021-01-18,2021-01-22,2021-01-23,5 días,398.54,No,12.89,30.93,2,1,3,4
250,250,2021-01-18,2021-01-22,,Pendiente,557.92,Pendiente,11.73,47.56,3,1,1,8
251,251,2021-01-18,2021-01-22,,Pendiente,3072.66,Pendiente,2.87,1070.72,8,3,2,6
252,252,2021-01-18,2021-01-22,2021-01-23,5 días,3792.19,No,2.74,1383.56,8,3,3,6
253,253,2021-01-18,2021-01-22,,Pendiente,1336.3,Pendiente,6.77,197.26,6,2,1,10
254,254,2021-01-19,2021-01-23,2021-01-23,4 días,453.26,Si,9.6,47.21,1,1,3,4
255,255,2021-01-20,2021-01-24,,Pendiente,317.84,Pendiente,12.9,24.64,1,1,1,10
256,256,2021-01-20,2021-01-24,2021-01-27,7 días,321.68,No,12.72,25.28,1,1,3,14
257,257,2021-01-18,2021-01-22,2021-01-22,4 días,372.35,Si,13.84,26.9,2,1,3,3
258,258,2021-01-21,2021-01-25,2021-01-28,7 días,276.02,No,15.62,17.67,1,1,3,6
259,259,2021-01-19,2021-01-23,2021-01-22,3 días,244.22,Si,19.74,12.37,1,1,3,14
260,260,2021-01-19,2021-01-23,2021-01-22,3 días,217.28,Si,27.57,7.88,1,1,3,10
261,261,2021-01-21,2021-01-25,2021-01-24,3 días,307.88,Si,13.4,22.98,1,1,3,12
262,262,2021-01-19,2021-01-23,2021-01-20,1 días,1354.08,Si,5.14,263.52,4,2,3,14
263,263,2021-01-20,2021-01-24,2021-01-21,1 días,513.82,Si,12.45,41.26,3,1,3,11
264,264,2021-01-19,2021-01-23,,Pendiente,263.48,Pendiente,25.96,10.15,2,1,1,12
265,265,2021-01-20,2021-01-24,2021-01-23,3 días,2212.26,Si,2.74,806.13,7,3,3,15
