SK_Cliente,SK_Producto,SK_Tienda,FechaVenta,Cantidad,PrecioVenta
73,67,3,2021-01-17 18:27:14,4,1716.57
67,56,7,2021-01-17 19:57:59,1,1067.89
36,22,1,2021-01-17 12:01:26,1,1462.8
94,66,3,2021-01-17 16:28:59,1,1379.77
37,28,8,2021-01-17 12:00:47,4,469.27
96,69,9,2021-01-17 16:01:57,1,2018.52
71,49,11,2021-01-17 16:17:02,1,484.77
64,75,3,2021-01-17 08:01:24,2,1500.15
41,63,7,2021-01-17 18:24:24,5,2080.13
35,73,11,2021-01-17 20:14:29,2,1740.1
39,5,5,2021-01-18 18:03:14,1,2254.15
4,14,5,2021-01-18 09:50:39,1,1456.57
57,53,15,2021-01-18 17:37:21,1,764.62
99,70,15,2021-01-18 14:48:06,1,2402.69
12,34,6,2021-01-18 11:58:09,1,356.04
89,54,13,2021-01-18 19:22:48,5,682.86
4,43,4,2021-01-18 11:45:22,5,1642.17
84,62,11,2021-01-18 11:35:43,3,1846.76
6,21,3,2021-01-18 20:32:21,1,1156.65
84,6,3,2021-01-18 13:35:46,1,2736.02
94,72,10,2021-01-18 18:34:54,1,2269.06
47,70,5,2021-01-18 14:44:31,1,2166.48
7,71,7,2021-01-19 09:16:22,1,2202.45
35,39,13,2021-01-19 10:13:35,2,463.75
13,45,7,2021-01-19 17:11:49,1,642.77
26,65,3,2021-01-19 20:07:29,1,1629.91
16,61,6,2021-01-19 17:28:10,4,2114.61
54,46,5,2021-01-19 09:15:10,1,627.62
87,40,10,2021-01-19 19:38:44,1,478.88
3,68,15,2021-01-19 13:13:36,5,1776.1
54,73,14,2021-01-19 12:47:34,1,1712.55
63,55,4,2021-01-19 10:13:15,1,796.77
5,46,7,2021-01-19 16:24:27,3,619.37
37,73,1,2021-01-19 18:59:39,1,1671.42
45,16,11,2021-01-19 16:15:53,4,1705.45
53,43,6,2021-01-19 17:17:22,2,1645.16
43,16,15,2021-01-19 14:36:39,1,1499.35
3,48,7,2021-01-19 08:19:32,1,627.52
67,55,1,2021-01-19 17:14:52,2,737.65
68,24,6,2021-01-19 12:49:04,1,1414.75
33,73,4,2021-01-19 08:45:44,2,1616.23
95,18,11,2021-01-20 09:49:56,1,1970.12
82,20,2,2021-01-20 20:59:01,1,2115.78
30,44,9,2021-01-20 14:54:33,1,1424.94
100,14,7,2021-01-20 14:11:31,1,1519.66
2,65,3,2021-01-20 20:56:29,5,1509.48
98,25,10,2021-01-20 08:41:17,2,434.58
86,71,10,2021-01-20 17:09:31,2,2167.37
99,67,15,2021-01-20 17:47:55,2,1883.04
47,16,6,2021-01-20 10:23:35,1,1526.48
49,41,8,2021-01-20 10:35:21,1,1464.76
74,43,14,2021-01-21 18:00:45,1,1626.44
51,7,9,2021-01-21 18:22:18,4,2627.67
2,39,1,2021-01-21 16:27:10,2,453.13
86,21,11,2021-01-21 12:56:35,1,1220.95
57,51,4,2021-01-21 12:47:49,3,406.3
73,31,5,2021-01-21 14:03:13,1,385.43
30,34,8,2021-01-21 09:54:13,2,354.02
60,4,10,2021-01-21 16:14:11,1,1969.7
82,39,5,2021-01-21 13:17:07,1,453.34
12,11,5,2021-01-21 19:33:33,1,1744.44
3,45,8,2021-01-21 19:58:00,1,605.02
9,48,14,2021-01-21 15:37:18,1,619.2
95,48,2,2021-01-21 09:48:47,1,586.14
80,21,2,2021-01-21 17:07:38,1,1217.34
85,25,8,2021-01-21 10:50:24,1,404.18
23,49,14,2021-01-21 18:14:50,2,438.1
30,1,12,2021-01-21 18:49:28,1,2274.7
70,27,1,2021-01-22 10:24:40,1,600.42
29,59,1,2021-01-22 12:06:45,5,296.81
69,51,7,2021-01-22 08:00:46,1,416.55
74,53,7,2021-01-22 13:47:55,1,748.66
81,31,15,2021-01-22 17:13:03,1,398.8
90,33,11,2021-01-22 16:49:33,3,247.48
45,22,5,2021-01-22 15:34:14,1,1336.23
17,21,3,2021-01-22 20:43:50,1,1155.25
93,5,12,2021-01-22 15:38:18,4,2369.3
7,17,2,2021-01-22 19:14:49,2,2100.96
59,2,3,2021-01-22 18:22:48,1,1940.91
26,16,12,2021-01-23 12:59:25,1,1635.59
66,47,4,2021-01-23 17:09:32,1,640.3
68,7,6,2021-01-23 18:59:23,2,3009.76
67,15,15,2021-01-23 18:07:33,1,1451.5
43,64,8,2021-01-23 18:18:20,1,2081.07
2,44,11,2021-01-23 08:11:39,1,1318.94
87,49,8,2021-01-23 15:45:44,5,465.73
82,74,11,2021-01-23 11:15:49,2,1834.64
15,58,8,2021-01-23 20:35:32,1,220.53
2,26,4,2021-01-23 13:11:48,1,535.55
57,12,14,2021-01-23 08:06:34,1,1842.51
57,34,8,2021-01-23 09:12:59,1,373.84
84,74,2,2021-01-23 08:00:45,3,1781.52
16,33,12,2021-01-23 16:14:45,1,261.14
96,51,2,2021-01-23 17:49:14,1,427.02
24,19,12,2021-01-23 11:52:08,1,1902.88
24,38,9,2021-01-24 12:59:31,3,325.06
20,51,13,2021-01-24 17:44:42,1,426.77
57,2,13,2021-01-24 12:41:30,1,2061.96
67,73,8,2021-01-24 18:03:38,1,1667.03
67,31,3,2021-01-24 20:29:35,1,381.79
10,62,9,2021-01-24 20:57:49,1,2066.03
30,39,2,2021-01-24 16:18:29,1,463.97
12,43,14,2021-01-24 13:12:01,1,1561.0
76,57,5,2021-01-24 09:41:29,1,294.83
73,64,15,2021-01-24 14:25:56,1,1966.59
67,67,7,2021-01-24 13:11:55,1,1739.98
53,57,5,2021-01-24 19:52:00,4,311.32
1,37,13,2021-01-24 20:37:13,1,423.13
4,18,5,2021-01-24 16:43:30,5,2121.87
22,31,9,2021-01-24 20:57:55,1,420.87
64,7,10,2021-01-25 15:46:57,3,2956.82
23,69,5,2021-01-25 10:06:00,2,2036.76
64,21,14,2021-01-25 11:27:47,1,1317.33
6,52,14,2021-01-25 12:42:35,1,478.57
92,59,5,2021-01-25 18:24:46,3,302.16
77,44,7,2021-01-25 19:57:41,1,1381.72
48,6,4,2021-01-25 12:38:58,1,2815.09
44,23,15,2021-01-25 15:08:01,2,1151.75
83,74,14,2021-01-25 10:57:48,2,1821.49
88,36,12,2021-01-25 17:20:16,3,379.47
75,34,2,2021-01-25 20:30:51,1,363.24
87,52,13,2021-01-25 16:44:31,1,438.84
84,73,7,2021-01-25 09:02:52,3,1643.75
36,49,11,2021-01-25 10:41:51,3,441.28
35,15,3,2021-01-25 20:18:46,1,1442.97
91,35,6,2021-01-25 17:05:14,1,348.34
76,71,8,2021-01-25 16:55:12,1,2169.4
14,36,13,2021-01-25 13:47:49,1,383.4
4,9,12,2021-01-26 11:48:46,3,1829.12
30,35,11,2021-01-26 14:35:45,5,344.45
21,15,9,2021-01-26 14:46:03,1,1413.03
23,28,4,2021-01-26 09:25:28,1,420.39
8,23,2,2021-01-26 20:30:51,1,1251.66
61,6,13,2021-01-26 10:01:09,4,2543.05
99,49,1,2021-01-26 08:52:37,1,493.3
28,41,5,2021-01-26 18:43:50,1,1539.75
90,15,10,2021-01-26 11:58:17,1,1532.51
16,51,5,2021-01-26 16:08:25,5,437.2
86,31,4,2021-01-26 19:37:22,3,439.5
20,29,1,2021-01-26 17:15:42,3,394.53
94,72,6,2021-01-26 15:40:40,1,2294.16
46,50,8,2021-01-26 19:18:56,1,467.59
87,58,1,2021-01-26 09:17:36,1,223.6
52,19,7,2021-01-26 14:56:09,3,2180.53
66,75,11,2021-01-27 13:03:54,1,1438.83
68,47,6,2021-01-27 10:17:57,3,642.09
50,48,12,2021-01-27 18:57:11,1,582.89
32,25,14,2021-01-27 16:30:26,1,442.1
56,4,6,2021-01-27 09:08:06,1,1717.29
15,15,7,2021-01-27 14:03:38,1,1501.87
66,20,4,2021-01-27 14:58:16,1,1927.7
14,67,13,2021-01-27 13:24:48,2,1766.69
27,51,6,2021-01-27 11:05:05,2,387.22
83,74,11,2021-01-27 14:53:30,4,1645.11
66,62,14,2021-01-27 13:59:55,1,1870.26
95,72,1,2021-01-27 12:53:44,5,2368.2
45,2,15,2021-01-27 11:19:39,1,2173.6
58,53,2,2021-01-27 09:02:15,1,741.19
20,34,10,2021-01-27 14:19:13,4,364.67
34,14,12,2021-01-27 10:34:34,1,1364.63
77,74,1,2021-01-27 08:23:39,1,1814.93
10,47,5,2021-01-28 19:06:19,1,649.83
82,11,5,2021-01-28 18:36:40,1,1756.86
92,57,10,2021-01-28 20:21:14,4,328.11
70,74,10,2021-01-28 09:02:00,1,1661.23
31,40,5,2021-01-28 18:44:23,2,476.77
93,18,11,2021-01-28 12:36:17,1,1971.56
76,52,2,2021-01-28 13:14:18,1,436.63
14,12,11,2021-01-28 17:16:57,1,2002.15
63,76,6,2021-01-28 09:21:35,2,1775.13
54,37,2,2021-01-28 16:41:04,1,429.48
60,58,15,2021-01-28 16:16:02,1,237.41
29,21,5,2021-01-28 20:44:37,2,1172.42
29,6,9,2021-01-28 09:04:48,2,2478.29
69,25,7,2021-01-28 20:04:23,4,417.17
18,62,7,2021-01-28 12:26:38,1,2086.96
31,52,8,2021-01-28 17:50:29,1,454.74
63,48,12,2021-01-28 09:43:31,1,605.3
8,26,7,2021-01-28 15:03:52,1,522.7
21,72,10,2021-01-28 15:25:54,3,2189.36
8,57,7,2021-01-28 09:24:38,1,289.26
47,16,15,2021-01-29 08:22:28,3,1489.89
2,63,3,2021-01-29 11:21:26,5,1908.92
41,41,11,2021-01-29 13:11:03,1,1634.45
76,46,3,2021-01-29 19:13:33,2,637.2
79,8,1,2021-01-29 11:08:52,2,2900.32
45,7,10,2021-01-29 19:14:18,3,2869.14
35,32,5,2021-01-30 12:16:47,1,417.25
97,73,8,2021-01-30 14:32:15,1,1666.04
42,76,14,2021-01-30 09:55:55,1,1957.13
6,6,14,2021-01-30 19:26:41,3,2724.76
62,15,4,2021-01-30 10:18:59,5,1604.66
15,21,2,2021-01-30 08:47:09,5,1154.5
47,8,1,2021-01-30 08:50:13,1,2705.99
53,76,2,2021-01-30 17:54:05,1,1809.73
77,37,7,2021-01-30 16:11:49,1,419.96
84,73,15,2021-01-31 19:56:53,1,1573.28
62,44,1,2021-01-31 20:08:07,1,1291.21
70,74,3,2021-01-31 16:16:24,1,1690.13
35,53,9,2021-01-31 16:55:52,4,691.35
91,22,3,2021-01-31 14:34:22,1,1353.21
28,17,7,2021-01-31 15:00:15,2,1944.87
21,17,2,2021-01-31 13:25:46,1,2143.34
23,12,13,2021-01-31 12:32:52,1,1896.31
21,28,3,2021-01-31 20:33:32,2,465.52
46,42,1,2021-01-31 17:21:54,2,1461.73
29,44,14,2021-01-31 11:36:08,1,1408.54
62,11,7,2021-01-31 20:58:16,3,1862.74
45,48,12,2021-01-31 14:06:04,1,653.3
78,62,8,2021-01-31 08:59:49,1,2091.94
8,30,11,2021-01-31 19:02:47,1,327.05
38,47,1,2021-01-31 15:09:33,1,609.78
4,53,14,2021-01-31 12:58:26,2,736.31
75,51,11,2021-02-01 18:36:26,1,386.66
66,66,13,2021-02-01 20:05:16,1,1321.05
46,22,1,2021-02-01 14:43:14,4,1409.85
74,75,4,2021-02-01 09:15:55,2,1396.94
52,26,4,2021-02-01 19:49:19,1,596.22
90,59,6,2021-02-01 08:54:06,1,322.37
64,21,5,2021-02-01 11:04:39,1,1260.59
66,20,1,2021-02-01 16:18:06,1,2069.39
53,60,2,2021-02-01 19:33:04,1,266.32
70,3,2,2021-02-01 15:56:40,1,1912.27
41,71,9,2021-02-01 18:21:53,1,2413.27
45,3,15,2021-02-01 16:49:18,1,1977.27
17,65,3,2021-02-01 14:20:59,1,1502.0
56,45,2,2021-02-02 10:16:55,1,650.7
44,76,10,2021-02-02 14:56:12,2,1828.33
60,59,15,2021-02-02 08:42:03,2,327.87
20,34,15,2021-02-02 08:08:18,1,334.16
44,45,7,2021-02-02 14:28:53,2,649.64
12,34,13,2021-02-02 12:06:30,1,338.11
42,33,1,2021-02-02 16:43:58,2,269.09
86,70,10,2021-02-02 18:15:18,2,2143.84
26,54,2,2021-02-02 18:36:21,1,687.34
74,47,10,2021-02-02 17:48:26,1,595.02
65,59,12,2021-02-02 14:02:25,2,309.57
25,58,1,2021-02-02 18:37:25,5,246.28
77,47,9,2021-02-02 08:19:25,1,620.54
61,43,4,2021-02-02 20:32:32,5,1620.37
76,24,6,2021-02-03 13:26:00,2,1455.33
99,58,11,2021-02-03 10:21:40,1,216.29
90,55,6,2021-02-03 10:53:39,1,724.67
62,1,4,2021-02-03 19:15:37,1,2169.79
89,32,13,2021-02-03 09:45:16,5,400.16
65,17,10,2021-02-03 14:36:11,3,1979.62
20,6,15,2021-02-03 20:52:39,1,2831.57
64,21,9,2021-02-03 17:10:08,1,1204.99
5,74,12,2021-02-03 19:01:37,1,1813.42
26,51,4,2021-02-03 20:31:48,2,442.24
52,8,7,2021-02-03 12:55:37,3,2804.15
44,6,12,2021-02-03 18:55:24,1,2654.23
87,65,13,2021-02-03 14:29:30,1,1568.88
86,25,12,2021-02-03 09:06:28,1,394.48
96,60,11,2021-02-03 16:01:07,1,256.72
25,13,8,2021-02-04 20:04:09,1,1723.85
100,59,6,2021-02-04 09:54:57,1,321.11
54,24,7,2021-02-04 11:44:46,2,1467.94
2,67,11,2021-02-04 13:53:10,1,1806.1
70,40,9,2021-02-04 16:41:48,1,443.97
24,35,11,2021-02-04 09:19:40,3,321.56
41,13,15,2021-02-04 13:42:04,1,1632.76
31,51,5,2021-02-04 08:20:53,1,439.78
94,41,7,2021-02-04 12:15:40,1,1536.17
30,74,13,2021-02-04 12:24:15,2,1681.62
73,74,8,2021-02-04 18:39:21,1,1677.55
34,45,10,2021-02-04 10:46:16,1,578.9
26,76,9,2021-02-04 18:58:43,2,2011.35
52,69,11,2021-02-04 14:43:59,2,2221.56
31,8,12,2021-02-05 12:09:22,1,2861.62
17,37,3,2021-02-05 15:20:35,2,462.84
45,34,11,2021-02-05 19:40:35,1,345.38
20,72,1,2021-02-05 10:47:42,1,2211.04
97,4,7,2021-02-05 16:49:13,3,1855.65
21,62,3,2021-02-05 10:36:25,4,1969.0
55,61,1,2021-02-05 09:01:35,1,2022.46
1,74,15,2021-02-05 09:30:19,1,1823.21
17,71,1,2021-02-05 19:11:40,1,2403.22
83,34,7,2021-02-05 18:53:39,4,354.55
7,76,10,2021-02-05 14:43:24,1,1857.45
3,2,13,2021-02-05 11:33:18,2,1986.79
99,33,15,2021-02-05 19:20:33,1,272.47
22,8,15,2021-02-05 18:03:41,5,2837.39
34,29,11,2021-02-05 09:45:20,1,403.18
22,50,7,2021-02-05 14:17:07,2,437.46
51,41,10,2021-02-05 18:57:34,2,1575.73
61,59,4,2021-02-06 10:09:26,4,319.47
53,31,11,2021-02-06 13:00:44,1,439.97
52,19,1,2021-02-06 09:00:48,3,2163.5
12,43,10,2021-02-06 10:22:40,1,1581.76
98,13,7,2021-02-06 11:40:39,1,1636.8
62,49,1,2021-02-06 09:47:16,1,467.86
49,72,6,2021-02-06 19:48:31,4,2243.89
89,51,15,2021-02-06 18:06:11,1,417.57
6,75,9,2021-02-06 08:01:41,1,1483.06
29,45,9,2021-02-06 15:55:05,3,619.3
57,62,1,2021-02-06 15:40:59,1,2105.97
24,22,5,2021-02-06 11:40:19,3,1492.05
25,72,2,2021-02-06 18:33:57,1,2214.22
80,39,9,2021-02-06 09:49:25,1,484.7
37,66,8,2021-02-06 15:00:51,1,1347.37
27,33,13,2021-02-07 19:16:06,1,264.12
7,68,9,2021-02-07 15:45:51,2,1746.73
85,64,12,2021-02-07 13:34:30,1,2183.47
38,4,8,2021-02-07 09:21:54,5,1921.2
43,64,11,2021-02-07 10:58:37,1,2026.0
27,36,2,2021-02-07 17:24:56,3,374.86
68,35,2,2021-02-07 16:24:29,1,319.21
