VentaSK,SK_Proveedor,SK_RangoDistancia,SK_EstadoPedido,SK_Almacen,Fecha_Envio,Fecha_Estimada,Fecha_Entrega_Real,Distancia_Km,Costo_Total,Costo_Por_Km,Tiempo_Entrega_Dias,Entregado_A_Tiempo
41,2,1,3,12,2021-01-04,2021-01-08,2021-01-07,19.69,325.49,16.53,3,Si
42,3,1,3,8,2021-01-05,2021-01-09,2021-01-08,48.02,561.14,11.69,3,Si
43,1,1,3,6,2021-01-05,2021-01-09,2021-01-07,28.35,340.1,12.0,2,Si
44,2,1,3,2,2021-01-03,2021-01-07,2021-01-08,44.49,486.69,10.94,5,No
45,2,1,2,6,2021-01-05,2021-01-09,,23.94,353.11,14.75,0,Pendiente
46,6,2,3,3,2021-01-04,2021-01-08,2021-01-11,277.44,1737.2,6.26,7,No
47,3,1,1,2,2021-01-05,2021-01-09,,35.91,476.37,13.27,0,Pendiente
48,1,1,3,12,2021-01-05,2021-01-09,2021-01-06,31.98,361.88,11.32,1,Si
49,3,1,1,3,2021-01-04,2021-01-08,,27.61,418.27,15.15,0,Pendiente
50,6,2,4,8,2021-01-05,2021-01-09,2021-01-09,180.97,1254.85,6.93,4,Si
51,1,1,3,2,2021-01-06,2021-01-10,2021-01-07,24.64,317.84,12.9,1,Si
52,1,1,3,7,2021-01-06,2021-01-10,2021-01-12,43.54,431.24,9.9,6,No
53,2,1,3,5,2021-01-06,2021-01-10,2021-01-07,31.38,401.47,12.79,1,Si
54,8,3,3,8,2021-01-05,2021-01-09,2021-01-12,1094.31,3126.91,2.86,7,No
55,4,2,3,1,2021-01-05,2021-01-09,2021-01-09,55.39,521.56,9.42,4,Si
56,4,2,4,6,2021-01-05,2021-01-09,2021-01-12,233.03,1232.12,5.29,7,No
57,3,1,4,10,2021-01-05,2021-01-09,2021-01-11,39.24,499.68,12.73,6,No
58,1,1,3,13,2021-01-05,2021-01-09,2021-01-09,19.3,285.8,14.81,4,Si
59,4,2,3,15,2021-01-05,2021-01-09,2021-01-10,198.24,1092.96,5.51,5,No
60,3,1,4,11,2021-01-05,2021-01-09,2021-01-06,11.65,306.55,26.31,1,Si
61,1,1,3,1,2021-01-06,2021-01-10,2021-01-12,44.53,437.18,9.82,6,No
62,2,1,3,1,2021-01-06,2021-01-10,2021-01-08,20.27,329.25,16.24,2,Si
63,5,2,3,6,2021-01-06,2021-01-10,2021-01-09,146.35,983.58,6.72,3,Si
64,3,1,3,1,2021-01-04,2021-01-08,2021-01-09,45.41,542.87,11.95,5,No
65,2,1,3,6,2021-01-07,2021-01-11,2021-01-13,32.72,410.18,12.54,6,No
66,3,1,2,6,2021-01-07,2021-01-11,,43.62,530.34,12.16,0,Pendiente
67,4,2,3,14,2021-01-06,2021-01-10,2021-01-09,200.5,1102.0,5.5,3,Si
68,3,1,3,6,2021-01-07,2021-01-11,2021-01-13,21.33,374.31,17.55,6,No
69,3,1,3,1,2021-01-05,2021-01-09,2021-01-07,38.42,493.94,12.86,2,Si
70,5,2,3,1,2021-01-07,2021-01-11,2021-01-12,263.52,1510.84,5.73,5,No
71,3,1,3,9,2021-01-07,2021-01-11,2021-01-11,17.62,348.34,19.77,4,Si
72,2,1,3,11,2021-01-07,2021-01-11,2021-01-08,28.57,383.21,13.41,1,Si
73,3,1,3,3,2021-01-06,2021-01-10,2021-01-13,18.94,357.58,18.88,7,No
74,2,1,3,4,2021-01-06,2021-01-10,2021-01-08,39.01,451.06,11.56,2,Si
75,3,1,3,11,2021-01-05,2021-01-09,2021-01-07,43.77,531.39,12.14,2,Si
76,4,2,3,1,2021-01-08,2021-01-12,2021-01-13,80.9,623.6,7.71,5,No
77,3,1,3,14,2021-01-06,2021-01-10,2021-01-10,18.38,353.66,19.24,4,Si
78,3,1,3,11,2021-01-08,2021-01-12,2021-01-13,13.3,318.1,23.92,5,No
79,1,1,3,6,2021-01-08,2021-01-12,2021-01-13,49.57,467.42,9.43,5,No
80,3,1,3,3,2021-01-08,2021-01-12,2021-01-12,13.93,322.51,23.15,4,Si
81,5,2,3,12,2021-01-08,2021-01-12,2021-01-15,133.05,923.73,6.94,7,No
82,3,1,3,15,2021-01-09,2021-01-13,2021-01-10,11.03,302.21,27.4,1,Si
83,3,1,2,4,2021-01-08,2021-01-12,,38.08,491.56,12.91,0,Pendiente
84,2,1,3,6,2021-01-09,2021-01-13,2021-01-16,42.7,475.05,11.13,7,No
85,2,1,3,6,2021-01-09,2021-01-13,2021-01-15,30.88,398.22,12.9,6,No
86,3,1,3,4,2021-01-07,2021-01-11,2021-01-08,9.65,292.55,30.32,1,Si
87,1,1,4,8,2021-01-09,2021-01-13,2021-01-15,18.27,279.62,15.3,6,No
88,4,2,3,8,2021-01-09,2021-01-13,2021-01-16,282.79,1431.16,5.06,7,No
89,3,1,3,3,2021-01-07,2021-01-11,2021-01-09,34.09,463.63,13.6,2,Si
90,3,1,4,11,2021-01-08,2021-01-12,2021-01-09,40.98,511.86,12.49,1,Si
91,1,1,3,1,2021-01-09,2021-01-13,2021-01-10,38.43,400.58,10.42,1,Si
92,6,2,3,8,2021-01-08,2021-01-12,2021-01-11,232.16,1510.8,6.51,3,Si
93,6,2,3,14,2021-01-08,2021-01-12,2021-01-11,283.99,1769.95,6.23,3,Si
94,3,1,3,4,2021-01-09,2021-01-13,2021-01-11,35.36,472.52,13.36,2,Si
95,2,1,3,6,2021-01-09,2021-01-13,2021-01-14,45.38,492.47,10.85,5,No
96,1,1,3,2,2021-01-08,2021-01-12,2021-01-15,13.57,251.42,18.53,7,No
97,8,3,3,6,2021-01-07,2021-01-11,2021-01-09,1061.0,3050.3,2.87,2,Si
98,6,2,3,14,2021-01-09,2021-01-13,2021-01-10,157.93,1139.65,7.22,1,Si
99,3,1,3,7,2021-01-07,2021-01-11,2021-01-13,19.04,358.28,18.82,6,No
100,3,1,2,3,2021-01-10,2021-01-14,,19.98,364.86,18.26,0,Pendiente
101,2,1,3,15,2021-01-08,2021-01-12,2021-01-11,21.17,335.11,15.83,3,Si
102,2,1,3,1,2021-01-08,2021-01-12,2021-01-13,10.25,264.12,25.77,5,No
103,2,1,3,11,2021-01-08,2021-01-12,2021-01-14,33.39,414.53,12.41,6,No
104,2,1,3,11,2021-01-08,2021-01-12,2021-01-14,30.6,396.4,12.95,6,No
105,2,1,3,1,2021-01-10,2021-01-14,2021-01-13,17.2,309.3,17.98,3,Si
106,7,3,3,13,2021-01-09,2021-01-13,2021-01-14,426.84,1453.68,3.41,5,No
107,2,1,3,6,2021-01-10,2021-01-14,2021-01-15,46.5,499.75,10.75,5,No
108,1,1,3,6,2021-01-10,2021-01-14,2021-01-16,30.15,350.9,11.64,6,No
109,5,2,3,9,2021-01-10,2021-01-14,2021-01-14,72.59,651.65,8.98,4,Si
110,5,2,3,4,2021-01-09,2021-01-13,2021-01-16,185.43,1159.43,6.25,7,No
111,2,1,3,9,2021-01-09,2021-01-13,2021-01-16,14.16,289.54,20.45,7,No
112,1,1,3,7,2021-01-08,2021-01-12,2021-01-09,35.74,384.44,10.76,1,Si
113,3,1,3,1,2021-01-10,2021-01-14,2021-01-14,32.32,451.24,13.96,4,Si
114,2,1,3,1,2021-01-11,2021-01-15,2021-01-15,22.4,343.1,15.32,4,Si
115,2,1,3,6,2021-01-10,2021-01-14,2021-01-16,10.23,264.0,25.81,6,No
116,3,1,3,4,2021-01-11,2021-01-15,2021-01-12,44.99,539.93,12.0,1,Si
117,5,2,3,6,2021-01-11,2021-01-15,2021-01-15,84.18,703.81,8.36,4,Si
118,3,1,3,4,2021-01-09,2021-01-13,2021-01-11,26.52,410.64,15.48,2,Si
119,3,1,3,2,2021-01-09,2021-01-13,2021-01-15,33.96,462.72,13.63,6,No
120,5,2,3,15,2021-01-11,2021-01-15,2021-01-14,139.36,952.12,6.83,3,Si
121,1,1,3,2,2021-01-10,2021-01-14,2021-01-12,45.83,444.98,9.71,2,Si
122,4,2,3,4,2021-01-10,2021-01-14,2021-01-15,183.07,1032.28,5.64,5,No
123,2,1,3,1,2021-01-10,2021-01-14,2021-01-17,38.08,445.02,11.69,7,No
124,2,1,3,4,2021-01-11,2021-01-15,2021-01-13,30.0,392.5,13.08,2,Si
125,8,3,3,15,2021-01-11,2021-01-15,2021-01-14,488.02,1732.45,3.55,3,Si
126,2,1,3,8,2021-01-10,2021-01-14,2021-01-11,19.06,321.39,16.86,1,Si
127,1,1,3,14,2021-01-10,2021-01-14,2021-01-16,25.05,320.3,12.79,6,No
128,2,1,3,9,2021-01-12,2021-01-16,2021-01-18,33.32,414.08,12.43,6,No
129,3,1,3,1,2021-01-12,2021-01-16,2021-01-18,13.67,320.69,23.46,6,No
130,2,1,3,1,2021-01-10,2021-01-14,2021-01-13,19.5,324.25,16.63,3,Si
131,8,3,3,10,2021-01-12,2021-01-16,2021-01-16,1259.46,3506.76,2.78,4,Si
132,3,1,3,6,2021-01-10,2021-01-14,2021-01-17,34.23,464.61,13.57,7,No
133,2,1,3,4,2021-01-11,2021-01-15,2021-01-15,40.73,462.25,11.35,4,Si
134,5,2,3,7,2021-01-12,2021-01-16,2021-01-14,285.47,1609.62,5.64,2,Si
135,2,1,3,4,2021-01-10,2021-01-14,2021-01-12,43.61,480.97,11.03,2,Si
136,1,1,3,3,2021-01-11,2021-01-15,2021-01-15,23.88,313.28,13.12,4,Si
137,2,1,3,8,2021-01-10,2021-01-14,2021-01-14,25.85,365.52,14.14,4,Si
138,3,1,3,7,2021-01-10,2021-01-14,2021-01-17,48.42,563.94,11.65,7,No
139,3,1,3,12,2021-01-12,2021-01-16,2021-01-16,16.45,340.15,20.68,4,Si
140,1,1,3,8,2021-01-11,2021-01-15,2021-01-15,42.72,426.32,9.98,4,Si
141,3,1,3,3,2021-01-11,2021-01-15,2021-01-14,33.97,462.79,13.62,3,Si
142,3,1,3,14,2021-01-13,2021-01-17,2021-01-17,47.98,560.86,11.69,4,Si
143,3,1,3,4,2021-01-11,2021-01-15,2021-01-16,15.26,331.82,21.74,5,No
144,3,1,3,5,2021-01-12,2021-01-16,2021-01-14,21.3,374.1,17.56,2,Si
145,1,1,3,15,2021-01-13,2021-01-17,2021-01-18,44.27,435.62,9.84,5,No
146,3,1,3,14,2021-01-11,2021-01-15,2021-01-18,10.12,295.84,29.23,7,No
147,5,2,3,8,2021-01-11,2021-01-15,2021-01-17,66.95,626.27,9.35,6,No
148,1,1,3,6,2021-01-12,2021-01-16,2021-01-19,19.96,289.76,14.52,7,No
149,5,2,3,15,2021-01-11,2021-01-15,2021-01-18,152.33,1010.49,6.63,7,No
150,6,2,3,11,2021-01-11,2021-01-15,2021-01-15,261.68,1658.4,6.34,4,Si
151,1,1,3,1,2021-01-11,2021-01-15,2021-01-13,23.02,308.12,13.38,2,Si
152,2,1,3,13,2021-01-13,2021-01-17,2021-01-20,48.72,514.18,10.55,7,No
153,1,1,1,3,2021-01-13,2021-01-17,,7.0,212.0,30.29,0,Pendiente
154,1,1,3,5,2021-01-11,2021-01-15,2021-01-16,22.97,307.82,13.4,5,No
155,1,1,3,13,2021-01-11,2021-01-15,2021-01-12,9.76,228.56,23.42,1,Si
156,3,1,3,6,2021-01-14,2021-01-18,2021-01-21,38.65,495.55,12.82,7,No
157,3,1,4,3,2021-01-14,2021-01-18,2021-01-18,32.33,451.31,13.96,4,Si
158,3,1,3,4,2021-01-13,2021-01-17,2021-01-15,6.16,268.12,43.53,2,Si
159,1,1,3,1,2021-01-14,2021-01-18,2021-01-15,9.37,226.22,24.14,1,Si
160,3,1,3,2,2021-01-13,2021-01-17,2021-01-15,49.62,572.34,11.53,2,Si
161,8,3,3,15,2021-01-12,2021-01-16,2021-01-14,1258.95,3505.59,2.78,2,Si
162,2,1,3,6,2021-01-12,2021-01-16,2021-01-18,31.13,399.85,12.84,6,No
163,1,1,3,6,2021-01-12,2021-01-16,2021-01-19,45.49,442.94,9.74,7,No
164,3,1,3,5,2021-01-14,2021-01-18,2021-01-15,13.96,322.72,23.12,1,Si
165,2,1,3,11,2021-01-12,2021-01-16,2021-01-19,14.57,292.2,20.05,7,No
166,6,2,3,7,2021-01-12,2021-01-16,2021-01-18,134.32,1021.6,7.61,6,No
167,7,3,2,15,2021-01-14,2021-01-18,,1317.7,3235.4,2.46,0,Pendiente
168,3,1,3,13,2021-01-12,2021-01-16,2021-01-14,26.33,409.31,15.55,2,Si
169,2,1,3,15,2021-01-13,2021-01-17,2021-01-19,25.86,365.59,14.14,6,No
170,3,1,3,1,2021-01-12,2021-01-16,2021-01-17,48.61,565.27,11.63,5,No
171,2,1,3,2,2021-01-13,2021-01-17,2021-01-17,15.83,300.39,18.98,4,Si
172,3,1,3,11,2021-01-14,2021-01-18,2021-01-16,45.79,545.53,11.91,2,Si
173,3,1,2,4,2021-01-14,2021-01-18,,6.89,273.23,39.66,0,Pendiente
174,3,1,3,3,2021-01-12,2021-01-16,2021-01-19,16.06,337.42,21.01,7,No
175,2,1,3,9,2021-01-13,2021-01-17,2021-01-20,42.62,474.53,11.13,7,No
176,2,1,3,8,2021-01-12,2021-01-16,2021-01-13,42.23,472.0,11.18,1,Si
177,4,2,3,6,2021-01-14,2021-01-18,2021-01-20,88.18,652.72,7.4,6,No
178,4,2,3,11,2021-01-13,2021-01-17,2021-01-15,87.21,648.84,7.44,2,Si
179,1,1,3,8,2021-01-14,2021-01-18,2021-01-16,14.91,259.46,17.4,2,Si
180,1,1,3,15,2021-01-13,2021-01-17,2021-01-18,12.88,247.28,19.2,5,No
181,8,3,3,15,2021-01-12,2021-01-16,2021-01-16,1224.63,3426.65,2.8,4,Si
182,2,1,3,12,2021-01-14,2021-01-18,2021-01-21,35.63,429.1,12.04,7,No
183,1,1,4,2,2021-01-13,2021-01-17,2021-01-19,22.62,305.72,13.52,6,No
184,1,1,3,4,2021-01-14,2021-01-18,2021-01-15,37.68,396.08,10.51,1,Si
185,1,1,3,6,2021-01-14,2021-01-18,2021-01-15,41.54,419.24,10.09,1,Si
186,3,1,3,7,2021-01-14,2021-01-18,2021-01-15,30.14,435.98,14.47,1,Si
187,3,1,3,1,2021-01-14,2021-01-18,2021-01-15,33.23,457.61,13.77,1,Si
188,3,1,3,3,2021-01-14,2021-01-18,2021-01-21,28.29,423.03,14.95,7,No
189,3,1,4,1,2021-01-15,2021-01-19,2021-01-18,26.3,409.1,15.56,3,Si
190,4,2,3,4,2021-01-14,2021-01-18,2021-01-19,65.16,560.64,8.6,5,No
191,1,1,1,6,2021-01-13,2021-01-17,,39.18,405.08,10.34,0,Pendiente
192,3,1,3,1,2021-01-13,2021-01-17,2021-01-16,36.68,481.76,13.13,3,Si
193,3,1,3,6,2021-01-13,2021-01-17,2021-01-18,47.14,554.98,11.77,5,No
194,1,1,3,1,2021-01-15,2021-01-19,2021-01-17,15.44,262.64,17.01,2,Si
195,2,1,3,2,2021-01-13,2021-01-17,2021-01-19,47.36,505.34,10.67,6,No
196,3,1,3,4,2021-01-15,2021-01-19,2021-01-16,12.13,309.91,25.55,1,Si
197,3,1,3,11,2021-01-16,2021-01-20,2021-01-19,10.32,297.24,28.8,3,Si
198,6,2,3,12,2021-01-16,2021-01-20,2021-01-21,105.95,879.75,8.3,5,No
199,2,1,3,14,2021-01-16,2021-01-20,2021-01-23,46.26,498.19,10.77,7,No
200,3,1,3,15,2021-01-16,2021-01-20,2021-01-23,6.64,271.48,40.89,7,No
201,3,1,3,4,2021-01-14,2021-01-18,2021-01-19,7.73,279.11,36.11,5,No
202,3,1,3,13,2021-01-16,2021-01-20,2021-01-18,30.5,438.5,14.38,2,Si
203,3,1,3,3,2021-01-16,2021-01-20,2021-01-19,8.77,286.39,32.66,3,Si
204,3,1,3,14,2021-01-16,2021-01-20,2021-01-21,7.76,279.32,35.99,5,No
205,1,1,3,15,2021-01-15,2021-01-19,2021-01-16,12.12,242.72,20.03,1,Si
206,8,3,3,14,2021-01-16,2021-01-20,2021-01-23,969.93,2840.84,2.93,7,No
207,1,1,3,13,2021-01-16,2021-01-20,2021-01-22,49.2,465.2,9.46,6,No
208,2,1,2,6,2021-01-15,2021-01-19,,41.75,468.88,11.23,0,Pendiente
209,3,1,3,4,2021-01-16,2021-01-20,2021-01-18,42.16,520.12,12.34,2,Si
210,1,1,3,12,2021-01-14,2021-01-18,2021-01-18,10.07,230.42,22.88,4,Si
211,4,2,3,8,2021-01-15,2021-01-19,2021-01-17,192.53,1070.12,5.56,2,Si
212,2,1,3,14,2021-01-17,2021-01-21,2021-01-23,12.48,278.62,22.33,6,No
213,4,2,4,7,2021-01-16,2021-01-20,2021-01-23,235.07,1240.28,5.28,7,No
214,1,1,3,7,2021-01-15,2021-01-19,2021-01-18,40.18,411.08,10.23,3,Si
215,7,3,3,8,2021-01-15,2021-01-19,2021-01-22,1179.35,2958.7,2.51,7,No
216,2,1,3,2,2021-01-17,2021-01-21,2021-01-24,14.92,294.48,19.74,7,No
217,3,1,3,2,2021-01-16,2021-01-20,2021-01-19,6.02,267.14,44.38,3,Si
218,1,1,3,14,2021-01-15,2021-01-19,2021-01-16,9.59,227.54,23.73,1,Si
219,1,1,3,1,2021-01-17,2021-01-21,2021-01-22,25.4,322.4,12.69,5,No
220,5,2,3,1,2021-01-17,2021-01-21,2021-01-19,67.31,627.89,9.33,2,Si
221,1,1,2,2,2021-01-16,2021-01-20,,43.2,429.2,9.94,0,Pendiente
222,6,2,3,14,2021-01-15,2021-01-19,2021-01-21,208.97,1394.85,6.67,6,No
223,1,1,3,6,2021-01-17,2021-01-21,2021-01-23,33.61,371.66,11.06,6,No
224,2,1,3,4,2021-01-16,2021-01-20,2021-01-19,20.33,329.64,16.21,3,Si
225,1,1,3,7,2021-01-18,2021-01-22,2021-01-23,39.31,405.86,10.32,5,No
226,3,1,3,11,2021-01-17,2021-01-21,2021-01-19,45.85,545.95,11.91,2,Si
227,2,1,3,2,2021-01-17,2021-01-21,2021-01-18,33.25,413.62,12.44,1,Si
228,1,1,1,2,2021-01-17,2021-01-21,,18.18,279.08,15.35,0,Pendiente
229,2,1,3,4,2021-01-18,2021-01-22,2021-01-25,5.28,231.82,43.91,7,No
230,1,1,3,6,2021-01-16,2021-01-20,2021-01-18,5.88,205.28,34.91,2,Si
231,2,1,3,2,2021-01-16,2021-01-20,2021-01-20,12.35,277.77,22.49,4,Si
232,1,1,3,6,2021-01-18,2021-01-22,2021-01-25,25.78,324.68,12.59,7,No
233,4,2,3,2,2021-01-17,2021-01-21,2021-01-18,69.96,579.84,8.29,1,Si
234,1,1,1,9,2021-01-17,2021-01-21,,13.34,250.04,18.74,0,Pendiente
235,3,1,2,12,2021-01-18,2021-01-22,,28.89,427.23,14.79,0,Pendiente
236,5,2,3,6,2021-01-19,2021-01-23,2021-01-23,269.11,1536.0,5.71,4,Si
237,1,1,3,7,2021-01-17,2021-01-21,2021-01-23,37.62,395.72,10.52,6,No
238,3,1,4,9,2021-01-19,2021-01-23,2021-01-20,8.17,282.19,34.54,1,Si
239,3,1,3,14,2021-01-17,2021-01-21,2021-01-19,6.15,268.05,43.59,2,Si
240,4,2,3,10,2021-01-17,2021-01-21,2021-01-20,99.92,699.68,7.0,3,Si
241,2,1,3,4,2021-01-17,2021-01-21,2021-01-20,22.62,344.53,15.23,3,Si
242,1,1,4,15,2021-01-17,2021-01-21,2021-01-21,33.09,368.54,11.14,4,Si
243,1,1,3,13,2021-01-17,2021-01-21,2021-01-21,7.42,214.52,28.91,4,Si
244,8,3,3,3,2021-01-18,2021-01-22,2021-01-22,840.78,2543.79,3.03,4,Si
245,3,1,3,15,2021-01-17,2021-01-21,2021-01-20,22.2,380.4,17.14,3,Si
246,1,1,3,2,2021-01-19,2021-01-23,2021-01-20,35.72,384.32,10.76,1,Si
247,2,1,3,8,2021-01-20,2021-01-24,2021-01-25,37.24,439.56,11.8,5,No
248,2,1,3,15,2021-01-18,2021-01-22,2021-01-20,35.01,425.06,12.14,2,Si
249,2,1,3,4,2021-01-18,2021-01-22,2021-01-23,30.93,398.54,12.89,5,No
250,3,1,1,8,2021-01-18,2021-01-22,,47.56,557.92,11.73,0,Pendiente
251,8,3,2,6,2021-01-18,2021-01-22,,1070.72,3072.66,2.87,0,Pendiente
252,8,3,3,6,2021-01-18,2021-01-22,2021-01-23,1383.56,3792.19,2.74,5,No
253,6,2,1,10,2021-01-18,2021-01-22,,197.26,1336.3,6.77,0,Pendiente
254,1,1,3,4,2021-01-19,2021-01-23,2021-01-23,47.21,453.26,9.6,4,Si
255,1,1,1,10,2021-01-20,2021-01-24,,24.64,317.84,12.9,0,Pendiente
256,1,1,3,14,2021-01-20,2021-01-24,2021-01-27,25.28,321.68,12.72,7,No
257,2,1,3,3,2021-01-18,2021-01-22,2021-01-22,26.9,372.35,13.84,4,Si
258,1,1,3,6,2021-01-21,2021-01-25,2021-01-28,17.67,276.02,15.62,7,No
259,1,1,3,14,2021-01-19,2021-01-23,2021-01-22,12.37,244.22,19.74,3,Si
260,1,1,3,10,2021-01-19,2021-01-23,2021-01-22,7.88,217.28,27.57,3,Si
261,1,1,3,12,2021-01-21,2021-01-25,2021-01-24,22.98,307.88,13.4,3,Si
262,4,2,3,14,2021-01-19,2021-01-23,2021-01-20,263.52,1354.08,5.14,1,Si
263,3,1,3,11,2021-01-20,2021-01-24,2021-01-21,41.26,513.82,12.45,1,Si
264,2,1,1,12,2021-01-19,2021-01-23,,10.15,263.48,25.96,0,Pendiente
265,7,3,3,15,2021-01-20,2021-01-24,2021-01-23,806.13,2212.26,2.74,3,Si
266,1,1,3,12,2021-01-21,2021-01-25,2021-01-24,42.66,425.96,9.98,3,Si
267,1,1,4,4,2021-01-21,2021-01-25,2021-01-23,14.6,257.6,17.64,2,Si
268,5,2,1,2,2021-01-19,2021-01-23,,98.99,770.45,7.78,0,Pendiente
269,1,1,3,5,2021-01-19,2021-01-23,2021-01-26,45.48,442.88,9.74,7,No
270,4,2,3,12,2021-01-21,2021-01-25,2021-01-27,75.43,601.72,7.98,6,No
271,2,1,3,8,2021-01-19,2021-01-23,2021-01-21,26.36,368.84,13.99,2,Si
272,1,1,3,6,2021-01-19,2021-01-23,2021-01-22,8.24,219.44,26.63,3,Si
273,2,1,3,6,2021-01-20,2021-01-24,2021-01-26,14.19,289.74,20.42,6,No
274,3,1,3,12,2021-01-20,2021-01-24,2021-01-25,30.53,438.71,14.37,5,No
275,2,1,2,7,2021-01-20,2021-01-24,,44.79,488.63,10.91,0,Pendiente
276,3,1,1,4,2021-01-21,2021-01-25,,19.84,363.88,18.34,0,Pendiente
277,2,1,3,6,2021-01-20,2021-01-24,2021-01-21,10.86,268.09,24.69,1,Si
278,2,1,3,9,2021-01-21,2021-01-25,2021-01-25,29.56,389.64,13.18,4,Si
279,2,1,3,14,2021-01-22,2021-01-26,2021-01-23,17.56,311.64,17.75,1,Si
280,2,1,3,2,2021-01-22,2021-01-26,2021-01-28,45.05,490.32,10.88,6,No
281,8,3,3,11,2021-01-20,2021-01-24,2021-01-24,1262.61,3514.0,2.78,4,Si
282,2,1,3,12,2021-01-22,2021-01-26,2021-01-26,25.52,363.38,14.24,4,Si
283,3,1,3,6,2021-01-20,2021-01-24,2021-01-27,8.59,285.13,33.19,7,No
284,3,1,1,4,2021-01-21,2021-01-25,,20.05,365.35,18.22,0,Pendiente
285,2,1,3,3,2021-01-21,2021-01-25,2021-01-25,18.65,318.73,17.09,4,Si
286,2,1,3,6,2021-01-22,2021-01-26,2021-01-27,20.61,331.47,16.08,5,No
287,3,1,3,8,2021-01-22,2021-01-26,2021-01-25,34.49,466.43,13.52,3,Si
288,6,2,3,13,2021-01-23,2021-01-27,2021-01-28,87.41,787.05,9.0,5,No
289,2,1,3,7,2021-01-23,2021-01-27,2021-01-26,45.44,492.86,10.85,3,Si
